Pos,Country,Matches_Played,Wins,Draws,Losses,Goals For,Goals Against,Goal Differential,Points
Pos,Teamvte,Pld,W,D,L,GF,GA,GD,Pts
1,United States (H),3,3,0,0,13,1,+12,9
2,Nigeria,3,2,0,1,5,8,−3,6
3,North Korea,3,1,0,2,4,6,−2,3
4,Denmark,3,0,0,3,1,8,−7,0
Pos,Teamvte,Pld,W,D,L,GF,GA,GD,Pts
1,Brazil,3,2,1,0,12,4,+8,7
2,Germany,3,1,2,0,10,4,+6,5
3,Italy,3,1,1,1,3,3,0,4
4,Mexico,3,0,0,3,1,15,−14,0
Pos,Teamvte,Pld,W,D,L,GF,GA,GD,Pts
1,Norway,3,3,0,0,13,2,+11,9
2,Russia,3,2,0,1,10,3,+7,6
3,Canada,3,0,1,2,3,12,−9,1
4,Japan,3,0,1,2,1,10,−9,1
Pos,Teamvte,Pld,W,D,L,GF,GA,GD,Pts
1,China,3,3,0,0,12,2,+10,9
2,Sweden,3,2,0,1,6,3,+3,6
3,Australia,3,0,1,2,3,7,−4,1
4,Ghana,3,0,1,2,1,10,−9,1
