Pos,Country,Matches_Played,Wins,Draws,Losses,Goals For,Goals Against,Goal Differential,Points
Pos,Teamvte,Pld,W,D,L,GF,GA,GD,Pts
1,France (H),3,3,0,0,7,1,+6,9
2,Norway,3,2,0,1,6,3,+3,6
3,Nigeria,3,1,0,2,2,4,−2,3
4,South Korea,3,0,0,3,1,8,−7,0
Pos,Teamvte,Pld,W,D,L,GF,GA,GD,Pts
1,Germany,3,3,0,0,6,0,+6,9
2,Spain,3,1,1,1,3,2,+1,4
3,China,3,1,1,1,1,1,0,4
4,South Africa,3,0,0,3,1,8,−7,0
Pos,Teamvte,Pld,W,D,L,GF,GA,GD,Pts
1,Italy,3,2,0,1,7,2,+5,6
2,Australia,3,2,0,1,8,5,+3,6
3,Brazil,3,2,0,1,6,3,+3,6
4,Jamaica,3,0,0,3,1,12,−11,0
Pos,Teamvte,Pld,W,D,L,GF,GA,GD,Pts
1,England,3,3,0,0,5,1,+4,9
2,Japan,3,1,1,1,2,3,−1,4
3,Argentina,3,0,2,1,3,4,−1,2
4,Scotland,3,0,1,2,5,7,−2,1
Pos,Teamvte,Pld,W,D,L,GF,GA,GD,Pts
1,Netherlands,3,3,0,0,6,2,+4,9
2,Canada,3,2,0,1,4,2,+2,6
3,Cameroon,3,1,0,2,3,5,−2,3
4,New Zealand,3,0,0,3,1,5,−4,0
Pos,Teamvte,Pld,W,D,L,GF,GA,GD,Pts
1,United States,3,3,0,0,18,0,+18,9
2,Sweden,3,2,0,1,7,3,+4,6
3,Chile,3,1,0,2,2,5,−3,3
4,Thailand,3,0,0,3,1,20,−19,0
