Pos,Country,Matches_Played,Wins,Draws,Losses,Goals For,Goals Against,Goal Differential,Points
Pos,Teamvte,Pld,W,D,L,GF,GA,GD,Pts
1,Germany,3,2,0,1,9,4,+5,6
2,Sweden (H),3,2,0,1,5,3,+2,6
3,Japan,3,1,0,2,2,4,−2,3
4,Brazil,3,1,0,2,3,8,−5,3
Pos,Teamvte,Pld,W,D,L,GF,GA,GD,Pts
1,Norway,3,3,0,0,17,0,+17,9
2,England,3,2,0,1,6,6,0,6
3,Canada,3,0,1,2,5,13,−8,1
4,Nigeria,3,0,1,2,5,14,−9,1
Pos,Teamvte,Pld,W,D,L,GF,GA,GD,Pts
1,United States,3,2,1,0,9,4,+5,7
2,China,3,2,1,0,10,6,+4,7
3,Denmark,3,1,0,2,6,5,+1,3
4,Australia,3,0,0,3,3,13,−10,0
