Pos,Country,Matches_Played,Wins,Draws,Losses,Goals For,Goals Against,Goal Differential,Points
Pos,Teamvte,Pld,W,D,L,GF,GA,GD,Pts
1,United States (H),3,3,0,0,11,1,+10,9
2,Sweden,3,2,0,1,5,3,+2,6
3,North Korea,3,1,0,2,3,4,−1,3
4,Nigeria,3,0,0,3,0,11,−11,0
Pos,Teamvte,Pld,W,D,L,GF,GA,GD,Pts
1,Brazil,3,2,1,0,8,2,+6,7
2,Norway,3,2,0,1,10,5,+5,6
3,France,3,1,1,1,2,3,−1,4
4,South Korea,3,0,0,3,1,11,−10,0
Pos,Teamvte,Pld,W,D,L,GF,GA,GD,Pts
1,Germany,3,3,0,0,13,2,+11,9
2,Canada,3,2,0,1,7,5,+2,6
3,Japan,3,1,0,2,7,6,+1,3
4,Argentina,3,0,0,3,1,15,−14,0
Pos,Teamvte,Pld,W,D,L,GF,GA,GD,Pts
1,China,3,2,1,0,3,1,+2,7
2,Russia,3,2,0,1,5,2,+3,6
3,Ghana,3,1,0,2,2,5,−3,3
4,Australia,3,0,1,2,3,5,−2,1
