Pos,Country,Matches_Played,Wins,Draws,Losses,Goals For,Goals Against,Goal Differential,Points
Pos,Teamvte,Pld,W,D,L,GF,GA,GD,Pts
1,Canada (H),3,1,2,0,2,1,+1,5
2,China,3,1,1,1,3,3,0,4
3,Netherlands,3,1,1,1,2,2,0,4
4,New Zealand,3,0,2,1,2,3,−1,2
Pos,Teamvte,Pld,W,D,L,GF,GA,GD,Pts
1,Germany,3,2,1,0,15,1,+14,7
2,Norway,3,2,1,0,8,2,+6,7
3,Thailand,3,1,0,2,3,10,−7,3
4,Ivory Coast,3,0,0,3,3,16,−13,0
Pos,Teamvte,Pld,W,D,L,GF,GA,GD,Pts
1,Japan,3,3,0,0,4,1,+3,9
2,Cameroon,3,2,0,1,9,3,+6,6
3,Switzerland,3,1,0,2,11,4,+7,3
4,Ecuador,3,0,0,3,1,17,−16,0
Pos,Teamvte,Pld,W,D,L,GF,GA,GD,Pts
1,United States,3,2,1,0,4,1,+3,7
2,Australia,3,1,1,1,4,4,0,4
3,Sweden,3,0,3,0,4,4,0,3
4,Nigeria,3,0,1,2,3,6,−3,1
Pos,Teamvte,Pld,W,D,L,GF,GA,GD,Pts
1,Brazil,3,3,0,0,4,0,+4,9
2,South Korea,3,1,1,1,4,5,−1,4
3,Costa Rica,3,0,2,1,3,4,−1,2
4,Spain,3,0,1,2,2,4,−2,1
Pos,Teamvte,Pld,W,D,L,GF,GA,GD,Pts
1,France,3,2,0,1,6,2,+4,6
2,England,3,2,0,1,4,3,+1,6
3,Colombia,3,1,1,1,4,3,+1,4
4,Mexico,3,0,1,2,2,8,−6,1
