Pos,Country,Matches_Played,Wins,Draws,Losses,Goals For,Goals Against,Goal Differential,Points
Pos,Teamvte,Pld,W,D,L,GF,GA,GD,Pts
1,China (H),3,2,1,0,10,3,+7,5
2,Norway,3,2,0,1,6,5,+1,4
3,Denmark,3,1,1,1,6,4,+2,3
4,New Zealand,3,0,0,3,1,11,−10,0
Pos,Teamvte,Pld,W,D,L,GF,GA,GD,Pts
1,United States,3,3,0,0,11,2,+9,6
2,Sweden,3,2,0,1,12,3,+9,4
3,Brazil,3,1,0,2,1,7,−6,2
4,Japan,3,0,0,3,0,12,−12,0
Pos,Teamvte,Pld,W,D,L,GF,GA,GD,Pts
1,Germany,3,3,0,0,9,0,+9,6
2,Italy,3,2,0,1,6,2,+4,4
3,Chinese Taipei,3,1,0,2,2,8,−6,2
4,Nigeria,3,0,0,3,0,7,−7,0
